"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"1";"";"I2C_STANDARD_NO_SILK";"1X04_NO_SILK";"SPARKFUN";"SparkFun I2C Standard Pinout Header";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"68";"";"";"";
"1";"";"MA03-2";"MA03-2";"INPUT";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"15";"";"";"";
"1";"";"MA04-2";"MA04-2";"PROBE";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"unknown";"unknown";"11";"";"";"";
"4";"";"SJ";"SJ";"SJ1, SJ2, SJ3, SJ4";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";"";"33";"";"";"";
"4";"0.1u";"C-USC0805";"C0805";"C4, C6, C7, C8";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";
"1";"1.5k";"R-US_R0805";"R0805";"R17";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"1";"100";"R-US_R0805";"R0805";"R7";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"3";"1u";"C-USC0805";"C0805";"C1, C2, C3";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";
"6";"40k";"R-US_R0805";"R0805";"R1, R2, R3, R4, R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"1";"47uF";"C-USC0805";"C0805";"C5";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"63";"";"";"C";
"3";"5k";"R-US_R0805";"R0805";"R10, R11, R16";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"4";"910";"R-US_R0805";"R0805";"R5, R6, R8, R9";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"85";"";"";"R";
"1";"MCP3424-E_SL";"MCP3424-E_SL";"SOIC127P600X175-14N";"IC1";"ADC 18-Bit 4-ch 2.048V I2C SOIC14";"70046797";"http://www.alliedelec.com/microchip-technology-inc-mcp3424-e-sl/70046797/";"ADC 18-Bit 4-ch 2.048V I2C SOIC14";"1.75mm";"Microchip";"MCP3424-E/SL";"";"579-MCP3424-E/SL";"https://www.mouser.com/Search/Refine.aspx?Keyword=579-MCP3424-E%2FSL";"";"";"";"";"6696086P";"http://uk.rs-online.com/web/p/products/6696086P";"";
